pm10,so2,co,o3,no2,categori
67,15,35,62,17,SEDANG
53,13,32,64,18,SEDANG
65,22,29,55,20,SEDANG
59,21,20,64,14,SEDANG
57,18,29,68,16,SEDANG
62,23,27,66,20,SEDANG
60,23,35,70,19,SEDANG
61,20,31,67,16,SEDANG
51,10,24,83,14,SEDANG
57,10,20,77,13,SEDANG
55,12,32,63,25,SEDANG
62,15,29,71,21,SEDANG
68,13,29,77,19,SEDANG
67,14,29,67,16,SEDANG
66,11,27,51,13,SEDANG
59,10,28,76,18,SEDANG
53,14,27,78,20,SEDANG
59,14,33,65,19,SEDANG
63,17,34,51,18,SEDANG
66,14,29,78,17,SEDANG
59,18,27,62,14,SEDANG
63,19,25,42,12,SEDANG
57,14,27,81,17,SEDANG
62,14,29,75,18,SEDANG
62,18,35,84,26,SEDANG
62,18,32,60,16,SEDANG
55,16,19,75,14,SEDANG
51,13,30,87,22,SEDANG
65,17,32,55,18,SEDANG
59,12,25,75,18,SEDANG
61,7,29,81,16,SEDANG
53,16,27,80,18,SEDANG
64,15,27,78,20,SEDANG
65,16,29,84,22,SEDANG
68,15,27,85,16,SEDANG
66,14,23,54,13,SEDANG
63,12,24,60,14,SEDANG
67,14,23,61,14,SEDANG
74,14,25,73,16,SEDANG
68,11,19,62,13,SEDANG
70,12,20,73,15,SEDANG
64,16,33,68,19,SEDANG
79,16,37,80,22,SEDANG
66,15,15,57,13,SEDANG
72,17,29,62,15,SEDANG
70,17,29,72,18,SEDANG
60,12,15,57,9,SEDANG
68,14,36,77,14,SEDANG
56,11,14,63,14,SEDANG
62,12,23,63,13,SEDANG
63,14,25,61,15,SEDANG
59,11,17,66,16,SEDANG
65,14,27,68,16,SEDANG
69,15,28,84,22,SEDANG
63,19,26,55,15,SEDANG
62,13,34,79,20,SEDANG
57,11,30,89,19,SEDANG
66,12,26,87,14,SEDANG
59,15,31,74,22,SEDANG
75,19,30,81,19,SEDANG
65,26,27,73,15,SEDANG
69,24,27,69,19,SEDANG
63,17,29,72,20,SEDANG
75,23,27,64,23,SEDANG
56,18,25,87,18,SEDANG
66,19,30,81,20,SEDANG
59,21,28,70,26,SEDANG
70,21,29,68,17,SEDANG
61,21,29,70,23,SEDANG
60,21,25,86,21,SEDANG
70,16,27,59,14,SEDANG
58,16,27,58,14,SEDANG
57,17,25,61,16,SEDANG
60,19,26,59,16,SEDANG
58,17,32,68,20,SEDANG
74,21,31,84,18,SEDANG
58,18,29,89,14,SEDANG
54,18,25,69,13,SEDANG
53,15,20,73,12,SEDANG
62,15,34,85,18,SEDANG
64,19,30,76,16,SEDANG
64,14,32,71,18,SEDANG
53,19,21,67,14,SEDANG
46,17,25,80,14,SEDANG
57,23,23,81,16,SEDANG
77,30,31,66,16,SEDANG
68,20,33,57,18,SEDANG
51,19,20,65,11,SEDANG
57,17,31,80,15,SEDANG
57,20,26,88,20,SEDANG
60,19,31,70,17,SEDANG
57,18,25,89,14,SEDANG
65,25,35,84,21,SEDANG
58,32,28,62,17,SEDANG
64,19,29,71,14,SEDANG
71,23,32,69,19,SEDANG
52,18,26,74,13,SEDANG
41,17,29,70,12,SEDANG
56,23,36,78,11,SEDANG
75,20,48,78,25,SEDANG
54,21,25,73,13,SEDANG
66,24,42,75,17,SEDANG
55,21,37,71,15,SEDANG
36,17,23,74,7,SEDANG
50,19,25,82,9,SEDANG
63,21,39,65,8,SEDANG
37,19,22,70,9,SEDANG
50,15,42,86,22,SEDANG
52,28,47,66,11,SEDANG
36,15,28,71,13,SEDANG
54,16,32,72,16,SEDANG
50,45,38,71,15,SEDANG
58,21,41,66,13,SEDANG
53,23,30,67,11,SEDANG
43,20,26,77,10,SEDANG
39,24,26,85,14,SEDANG
51,52,34,74,15,SEDANG
56,23,44,85,22,SEDANG
53,22,34,72,14,SEDANG
53,13,29,72,12,SEDANG
42,12,37,78,13,SEDANG
54,13,46,78,13,SEDANG
37,11,20,69,8,SEDANG
70,13,53,76,24,SEDANG
56,15,42,82,23,SEDANG
60,12,34,62,18,SEDANG
77,44,41,51,19,SEDANG
49,24,28,75,17,SEDANG
56,24,28,61,14,SEDANG
60,41,47,78,22,SEDANG
55,23,31,76,6,SEDANG
66,26,34,85,6,SEDANG
29,14,29,77,13,SEDANG
33,13,27,77,10,SEDANG
50,14,41,80,17,SEDANG
55,12,27,80,14,SEDANG
53,12,30,79,13,SEDANG
49,20,29,68,13,SEDANG
42,18,18,83,8,SEDANG
69,25,54,72,14,SEDANG
45,28,32,77,14,SEDANG
41,31,35,75,22,SEDANG
51,21,36,89,19,SEDANG
55,29,33,64,23,SEDANG
58,30,28,72,15,SEDANG
45,21,21,68,17,SEDANG
50,25,26,74,11,SEDANG
55,29,35,77,16,SEDANG
74,36,46,64,24,SEDANG
58,27,36,77,17,SEDANG
57,26,25,79,12,SEDANG
51,21,21,73,10,SEDANG
61,26,30,75,17,SEDANG
64,29,48,80,23,SEDANG
54,27,34,86,21,SEDANG
53,34,32,69,18,SEDANG
61,24,24,83,14,SEDANG
64,26,40,72,23,SEDANG
65,20,44,84,20,SEDANG
69,32,26,80,16,SEDANG
60,21,31,83,15,SEDANG
47,22,34,82,15,SEDANG
76,27,53,75,31,SEDANG
72,25,37,80,25,SEDANG
57,27,37,64,19,SEDANG
66,28,32,79,17,SEDANG
66,24,43,72,23,SEDANG
56,25,24,76,16,SEDANG
60,23,32,65,17,SEDANG
58,24,13,79,9,SEDANG
58,23,34,84,23,SEDANG
62,27,33,68,19,SEDANG
66,25,28,57,11,SEDANG
63,26,30,61,16,SEDANG
69,22,35,70,17,SEDANG
59,27,32,68,17,SEDANG
72,32,35,70,19,SEDANG
71,31,44,72,22,SEDANG
62,31,30,77,23,SEDANG
64,24,38,80,18,SEDANG
70,31,35,67,18,SEDANG
51,26,36,75,19,SEDANG
67,30,46,64,22,SEDANG
77,34,34,61,19,SEDANG
69,28,35,80,20,SEDANG
61,25,22,56,15,SEDANG
71,30,34,72,19,SEDANG
64,31,28,68,10,SEDANG
63,24,27,83,16,SEDANG
63,27,28,68,13,SEDANG
63,27,23,60,13,SEDANG
69,30,30,74,29,SEDANG
71,31,35,76,28,SEDANG
71,34,32,64,26,SEDANG
65,28,30,45,19,SEDANG
67,31,33,61,15,SEDANG
71,26,40,69,21,SEDANG
69,29,36,58,22,SEDANG
74,30,35,60,17,SEDANG
80,27,33,76,27,SEDANG
72,28,31,70,21,SEDANG
66,27,37,76,28,SEDANG
64,28,35,77,18,SEDANG
72,22,24,66,16,SEDANG
72,21,33,59,19,SEDANG
70,24,36,81,21,SEDANG
74,32,22,74,17,SEDANG
64,22,33,82,24,SEDANG
66,23,29,61,22,SEDANG
66,27,24,57,15,SEDANG
67,23,20,67,13,SEDANG
73,22,25,80,15,SEDANG
69,21,27,64,11,SEDANG
53,19,10,73,14,SEDANG
41,23,14,70,10,SEDANG
34,28,27,74,18,SEDANG
64,28,25,77,16,SEDANG
68,40,24,77,16,SEDANG
77,26,32,70,18,SEDANG
70,33,29,72,22,SEDANG
78,26,31,79,21,SEDANG
74,25,27,58,19,SEDANG
71,23,35,81,20,SEDANG
70,30,29,67,22,SEDANG
75,31,42,70,20,SEDANG
63,26,34,76,20,SEDANG
69,26,37,74,20,SEDANG
75,38,31,66,21,SEDANG
77,32,30,78,17,SEDANG
68,27,27,67,14,SEDANG
73,34,33,73,19,SEDANG
79,35,32,52,18,SEDANG
61,27,15,67,10,SEDANG
71,32,38,64,21,SEDANG
64,29,32,78,17,SEDANG
71,35,34,63,17,SEDANG
61,29,28,61,15,SEDANG
60,29,24,64,11,SEDANG
47,25,29,77,18,SEDANG
57,24,32,69,17,SEDANG
55,24,21,84,13,SEDANG
53,22,42,69,14,SEDANG
59,35,35,79,20,SEDANG
51,29,38,73,18,SEDANG
59,30,45,62,17,SEDANG
66,26,38,83,12,SEDANG
68,5,30,77,19,SEDANG
59,5,28,71,20,SEDANG
63,2,54,64,14,SEDANG
59,5,18,68,10,SEDANG
53,5,30,68,20,SEDANG
65,6,49,62,18,SEDANG
60,6,33,76,20,SEDANG
55,4,29,70,14,SEDANG
51,2,38,68,12,SEDANG
75,4,23,51,9,SEDANG
70,2,34,59,17,SEDANG
66,3,32,49,15,SEDANG
56,2,37,76,21,SEDANG
64,3,33,75,22,SEDANG
69,2,35,73,20,SEDANG
64,2,38,73,21,SEDANG
59,3,34,80,14,SEDANG
49,1,25,68,12,SEDANG
59,2,28,64,13,SEDANG
52,2,24,65,15,SEDANG
54,1,31,75,14,SEDANG
53,1,33,69,17,SEDANG
52,2,26,75,12,SEDANG
55,2,23,79,13,SEDANG
42,1,26,73,14,SEDANG
61,4,29,76,10,SEDANG
58,1,31,76,10,SEDANG
65,4,36,70,20,SEDANG
60,2,35,65,19,SEDANG
76,2,42,73,21,SEDANG
64,2,30,58,14,SEDANG
55,2,18,63,19,SEDANG
74,3,37,69,23,SEDANG
56,2,40,69,22,SEDANG
66,2,34,56,23,SEDANG
62,2,35,73,17,SEDANG
56,2,42,66,25,SEDANG
54,3,33,62,15,SEDANG
68,2,26,75,19,SEDANG
56,1,32,68,12,SEDANG
73,2,53,77,20,SEDANG
64,2,32,66,12,SEDANG
70,2,16,62,12,SEDANG
71,3,27,54,12,SEDANG
74,3,18,64,12,SEDANG
72,1,15,61,12,SEDANG
75,3,28,58,18,SEDANG
62,2,28,55,16,SEDANG
58,2,32,74,25,SEDANG
61,3,32,76,19,SEDANG
56,1,32,70,18,SEDANG
69,3,25,46,18,SEDANG
66,3,29,72,21,SEDANG
73,3,30,63,28,SEDANG
63,2,30,78,24,SEDANG
77,2,24,68,25,SEDANG
59,2,14,74,16,SEDANG
70,3,6,61,19,SEDANG
71,3,53,69,19,SEDANG
71,4,53,66,30,SEDANG
61,5,34,63,11,SEDANG
63,11,33,47,13,SEDANG
74,13,38,67,17,SEDANG
57,7,37,67,20,SEDANG
80,10,39,75,26,SEDANG
60,5,36,76,19,SEDANG
65,8,46,59,19,SEDANG
64,12,41,66,21,SEDANG
72,9,30,76,16,SEDANG
69,6,56,68,22,SEDANG
58,8,31,57,17,SEDANG
58,7,24,68,15,SEDANG
67,5,58,65,24,SEDANG
70,9,35,77,19,SEDANG
62,8,35,56,20,SEDANG
61,7,32,72,21,SEDANG
70,10,32,74,17,SEDANG
55,4,19,78,17,SEDANG
53,4,21,74,12,SEDANG
56,4,19,79,11,SEDANG
53,5,23,74,13,SEDANG
57,8,21,74,18,SEDANG
56,8,22,62,13,SEDANG
57,9,23,68,10,SEDANG
55,6,18,65,10,SEDANG
50,4,25,77,12,SEDANG
54,7,26,66,14,SEDANG
58,9,27,66,19,SEDANG
67,9,30,72,19,SEDANG
69,8,27,63,14,SEDANG
75,10,30,58,22,SEDANG
69,9,26,58,19,SEDANG
64,9,15,57,10,SEDANG
62,9,25,48,12,SEDANG
61,9,27,58,14,SEDANG
68,8,28,72,23,SEDANG
63,9,27,49,12,SEDANG
69,9,30,53,16,SEDANG
61,9,15,67,13,SEDANG
62,9,28,77,15,SEDANG
69,7,35,74,24,SEDANG
68,6,33,82,19,SEDANG
67,7,31,74,19,SEDANG
70,9,32,64,19,SEDANG
62,5,26,72,14,SEDANG
68,7,34,68,20,SEDANG
80,9,35,74,21,SEDANG
66,10,33,57,18,SEDANG
73,8,32,66,22,SEDANG
51,5,24,81,15,SEDANG
64,7,30,62,17,SEDANG
71,8,30,74,19,SEDANG
66,8,30,71,27,SEDANG
64,9,27,48,22,SEDANG
63,10,27,64,30,SEDANG
67,7,26,80,19,SEDANG
65,8,31,76,19,SEDANG
70,10,26,66,18,SEDANG
72,11,26,69,12,SEDANG
69,8,29,60,18,SEDANG
78,9,31,81,21,SEDANG
71,8,33,78,24,SEDANG
71,9,31,72,19,SEDANG
67,8,31,80,17,SEDANG
72,10,32,58,22,SEDANG
60,10,29,69,19,SEDANG
61,8,31,59,21,SEDANG
64,9,30,84,21,SEDANG
59,5,20,76,14,SEDANG
60,6,30,66,15,SEDANG
65,9,25,49,14,SEDANG
65,10,20,44,12,SEDANG
47,7,19,65,12,SEDANG
66,9,30,52,18,SEDANG
66,8,33,60,25,SEDANG
82,11,38,70,30,SEDANG
78,9,35,70,18,SEDANG
74,8,41,70,18,SEDANG
65,8,42,63,23,SEDANG
76,8,38,81,20,SEDANG
69,8,34,84,22,SEDANG
59,8,44,74,23,SEDANG
66,8,30,83,21,SEDANG
75,9,35,84,25,SEDANG
75,10,42,69,21,SEDANG
59,13,27,59,17,SEDANG
62,7,20,67,14,SEDANG
55,10,27,78,12,SEDANG
58,10,35,65,20,SEDANG
80,13,32,67,18,SEDANG
52,8,28,71,15,SEDANG
61,6,19,83,16,SEDANG
72,7,38,83,15,SEDANG
57,7,33,76,13,SEDANG
56,6,42,78,17,SEDANG
71,4,43,61,20,SEDANG
61,5,32,79,17,SEDANG
57,9,32,63,12,SEDANG
57,5,21,61,12,SEDANG
61,7,28,51,11,SEDANG
60,5,40,68,13,SEDANG
51,4,28,75,21,SEDANG
44,1,25,71,13,SEDANG
65,2,29,51,13,SEDANG
58,2,28,57,11,SEDANG
67,5,31,49,15,SEDANG
59,3,26,70,12,SEDANG
61,8,33,71,20,SEDANG
59,8,30,60,17,SEDANG
65,6,31,60,16,SEDANG
77,6,38,70,26,SEDANG
72,6,30,58,23,SEDANG
68,3,40,63,22,SEDANG
69,7,36,63,22,SEDANG
77,7,52,71,22,SEDANG
66,10,36,70,18,SEDANG
58,7,40,63,15,SEDANG
68,7,35,78,23,SEDANG
54,6,30,70,16,SEDANG
53,6,23,62,14,SEDANG
64,9,37,59,14,SEDANG
65,5,37,66,20,SEDANG
64,16,30,66,14,SEDANG
60,25,48,64,13,SEDANG
60,8,40,69,18,SEDANG
77,8,38,69,28,SEDANG
48,6,26,66,19,SEDANG
63,6,36,62,18,SEDANG
44,7,30,78,31,SEDANG
56,4,23,74,20,SEDANG
61,4,44,67,20,SEDANG
52,6,37,69,24,SEDANG
54,9,32,70,19,SEDANG
54,8,28,84,17,SEDANG
65,8,38,74,27,SEDANG
68,8,36,59,21,SEDANG
63,8,41,60,16,SEDANG
58,10,31,54,19,SEDANG
67,6,55,64,21,SEDANG
61,13,32,52,17,SEDANG
58,9,43,63,21,SEDANG
73,11,26,66,19,SEDANG
56,8,34,75,22,SEDANG
43,8,29,70,15,SEDANG
57,6,37,62,21,SEDANG
52,10,30,62,24,SEDANG
51,7,32,78,18,SEDANG
60,6,39,71,13,SEDANG
55,10,27,60,14,SEDANG
56,10,24,67,15,SEDANG
55,11,30,61,19,SEDANG
56,12,31,72,20,SEDANG
63,12,28,68,18,SEDANG
41,9,30,68,25,SEDANG
58,12,26,68,18,SEDANG
59,10,29,69,18,SEDANG
52,10,32,66,25,SEDANG
57,10,27,67,18,SEDANG
55,11,26,83,24,SEDANG
63,9,38,72,18,SEDANG
59,13,28,74,24,SEDANG
58,12,28,56,22,SEDANG
63,13,32,63,20,SEDANG
56,16,30,78,23,SEDANG
55,14,28,75,18,SEDANG
62,11,33,67,16,SEDANG
63,9,35,59,24,SEDANG
52,13,27,62,27,SEDANG
52,10,36,72,15,SEDANG
41,10,27,70,20,SEDANG
46,9,32,84,19,SEDANG
44,11,25,71,21,SEDANG
54,9,32,77,22,SEDANG
39,8,34,74,24,SEDANG
38,11,28,70,21,SEDANG
52,13,31,61,21,SEDANG
61,12,41,80,26,SEDANG
52,11,30,68,18,SEDANG
37,11,34,69,20,SEDANG
45,9,29,72,17,SEDANG
48,10,30,76,21,SEDANG
59,11,39,67,25,SEDANG
34,11,28,72,23,SEDANG
66,13,29,47,16,SEDANG
70,7,26,36,13,SEDANG
62,7,22,79,25,SEDANG
59,6,24,58,26,SEDANG
53,6,24,69,30,SEDANG
40,6,21,67,16,SEDANG
58,6,25,78,17,SEDANG
53,6,31,69,28,SEDANG
62,7,29,57,20,SEDANG
67,6,29,44,22,SEDANG
71,7,29,71,21,SEDANG
69,7,34,69,18,SEDANG
75,14,40,64,39,SEDANG
56,15,27,59,25,SEDANG
64,14,30,52,23,SEDANG
59,14,29,51,18,SEDANG
70,14,33,71,21,SEDANG
66,22,28,54,19,SEDANG
83,18,30,68,18,SEDANG
64,17,31,79,30,SEDANG
63,16,27,56,19,SEDANG
40,15,15,70,20,SEDANG
57,16,19,61,15,SEDANG
57,14,16,62,9,SEDANG
64,14,26,53,17,SEDANG
80,19,23,60,17,SEDANG
80,22,21,51,15,SEDANG
68,15,24,54,17,SEDANG
69,16,27,46,22,SEDANG
80,32,28,59,29,SEDANG
68,31,17,63,14,SEDANG
75,30,27,60,30,SEDANG
84,28,30,64,22,SEDANG
75,32,25,57,24,SEDANG
74,35,23,76,19,SEDANG
77,40,22,71,22,SEDANG
73,34,25,62,21,SEDANG
69,37,27,59,27,SEDANG
68,33,26,66,21,SEDANG
61,32,21,74,22,SEDANG
62,35,18,56,27,SEDANG
66,27,13,61,11,SEDANG
64,33,22,54,15,SEDANG
64,30,28,54,20,SEDANG
67,27,19,63,15,SEDANG
71,35,21,52,20,SEDANG
66,34,24,51,19,SEDANG
60,31,19,63,18,SEDANG
62,29,24,52,16,SEDANG
67,28,21,57,22,SEDANG
65,32,18,55,19,SEDANG
72,34,21,55,21,SEDANG
71,34,22,53,22,SEDANG
59,30,13,59,13,SEDANG
63,31,17,56,24,SEDANG
66,34,17,59,24,SEDANG
64,32,14,58,16,SEDANG
70,33,23,53,18,SEDANG
72,31,25,59,23,SEDANG
70,35,26,52,24,SEDANG
70,34,25,47,18,SEDANG
69,31,20,49,17,SEDANG
61,29,15,57,13,SEDANG
64,28,17,65,19,SEDANG
65,31,23,44,17,SEDANG
67,33,23,46,16,SEDANG
82,37,29,71,23,SEDANG
83,33,35,66,23,SEDANG
79,32,21,65,19,SEDANG
67,33,16,45,11,SEDANG
74,31,25,48,18,SEDANG
63,32,23,46,21,SEDANG
60,29,18,57,21,SEDANG
78,31,27,51,19,SEDANG
77,33,37,71,20,SEDANG
77,36,30,48,22,SEDANG
66,35,25,60,23,SEDANG
72,29,17,61,19,SEDANG
65,20,19,51,20,SEDANG
66,20,27,39,25,SEDANG
60,45,24,78,4,SEDANG
74,43,41,61,4,SEDANG
58,42,30,77,3,SEDANG
58,44,29,79,4,SEDANG
52,26,32,81,4,SEDANG
48,26,31,71,4,SEDANG
65,26,31,30,4,SEDANG
72,26,31,17,3,SEDANG
73,27,30,15,2,SEDANG
74,27,35,16,3,SEDANG
77,29,33,21,5,SEDANG
71,28,32,34,4,SEDANG
75,28,34,35,5,SEDANG
78,28,41,24,3,SEDANG
83,29,32,25,3,SEDANG
68,30,28,17,4,SEDANG
73,29,32,32,4,SEDANG
80,29,32,25,3,SEDANG
69,29,32,29,3,SEDANG
70,30,30,24,4,SEDANG
65,31,30,24,2,SEDANG
70,30,34,24,4,SEDANG
79,30,32,30,4,SEDANG
69,31,33,28,3,SEDANG
68,32,27,50,5,SEDANG
65,31,27,27,4,SEDANG
67,34,26,23,4,SEDANG
77,32,39,29,4,SEDANG
58,15,25,78,5,SEDANG
52,7,27,71,7,SEDANG
62,7,30,67,5,SEDANG
50,6,24,68,3,SEDANG
58,6,26,54,4,SEDANG
37,9,25,75,5,SEDANG
56,9,27,63,4,SEDANG
53,9,24,60,5,SEDANG
63,10,25,80,5,SEDANG
42,8,23,80,5,SEDANG
64,12,35,71,3,SEDANG
51,8,27,62,4,SEDANG
43,7,23,73,4,SEDANG
73,9,26,69,5,SEDANG
65,10,24,76,6,SEDANG
57,10,24,65,7,SEDANG
71,8,31,56,6,SEDANG
53,11,22,67,5,SEDANG
61,11,33,82,6,SEDANG
50,8,27,67,4,SEDANG
62,10,34,86,4,SEDANG
49,9,22,68,4,SEDANG
71,15,25,78,5,SEDANG
59,12,20,80,5,SEDANG
50,12,20,76,3,SEDANG
53,11,21,78,6,SEDANG
60,11,24,56,7,SEDANG
56,11,20,81,9,SEDANG
59,15,18,64,6,SEDANG
44,13,21,85,11,SEDANG
61,17,20,82,8,SEDANG
69,14,24,79,8,SEDANG
58,15,16,65,4,SEDANG
53,14,25,75,4,SEDANG
71,15,21,75,4,SEDANG
42,13,23,72,5,SEDANG
50,13,20,77,4,SEDANG
54,14,23,70,6,SEDANG
51,12,24,67,3,SEDANG
52,17,18,63,7,SEDANG
63,19,21,65,4,SEDANG
60,13,18,80,6,SEDANG
45,18,22,71,5,SEDANG
51,16,21,69,4,SEDANG
49,17,23,77,9,SEDANG
46,13,25,82,5,SEDANG
50,19,19,76,5,SEDANG
50,17,20,85,10,SEDANG
57,16,20,70,9,SEDANG
48,14,19,74,4,SEDANG
53,17,18,74,6,SEDANG
42,17,18,80,7,SEDANG
68,19,18,59,6,SEDANG
34,15,21,72,6,SEDANG
56,19,18,65,8,SEDANG
51,16,15,83,4,SEDANG
52,19,18,77,5,SEDANG
71,19,21,59,5,SEDANG
52,19,18,63,4,SEDANG
53,19,16,66,4,SEDANG
51,18,16,64,5,SEDANG
54,17,16,75,6,SEDANG
56,18,15,77,3,SEDANG
64,18,19,70,5,SEDANG
52,17,19,79,6,SEDANG
54,20,16,72,3,SEDANG
55,21,16,64,4,SEDANG
59,16,20,61,5,SEDANG
59,18,18,66,5,SEDANG
53,19,15,78,3,SEDANG
57,20,16,77,6,SEDANG
57,18,17,63,5,SEDANG
60,19,21,63,8,SEDANG
60,16,31,81,7,SEDANG
59,17,22,55,9,SEDANG
50,17,22,65,7,SEDANG
53,17,20,62,6,SEDANG
52,17,20,82,4,SEDANG
53,17,19,68,5,SEDANG
71,17,30,55,6,SEDANG
54,19,20,77,5,SEDANG
73,18,37,76,7,SEDANG
52,19,17,74,6,SEDANG
55,20,20,79,5,SEDANG
42,20,23,73,6,SEDANG
64,19,33,66,6,SEDANG
58,20,24,71,5,SEDANG
40,19,21,67,5,SEDANG
64,20,27,57,9,SEDANG
44,18,18,81,3,SEDANG
52,19,27,71,5,SEDANG
59,22,27,80,5,SEDANG
46,20,22,79,9,SEDANG
28,20,19,78,6,SEDANG
52,22,24,66,4,SEDANG
48,21,23,82,4,SEDANG
52,28,20,72,7,SEDANG
67,24,37,53,7,SEDANG
66,27,23,28,4,SEDANG
72,22,29,21,5,SEDANG
64,14,20,74,4,SEDANG
63,14,24,80,4,SEDANG
67,12,18,45,9,SEDANG
53,11,20,65,3,SEDANG
74,11,19,34,7,SEDANG
79,10,18,38,2,SEDANG
74,12,13,48,2,SEDANG
49,14,23,72,4,SEDANG
59,16,20,65,3,SEDANG
59,15,20,75,4,SEDANG
61,16,38,61,4,SEDANG
54,12,19,71,2,SEDANG
73,19,20,48,2,SEDANG
63,14,26,84,3,SEDANG
60,15,27,64,2,SEDANG
53,14,20,73,3,SEDANG
57,15,21,64,3,SEDANG
59,18,22,65,15,SEDANG
63,13,29,71,3,SEDANG
49,16,23,66,4,SEDANG
50,16,21,82,4,SEDANG
68,14,27,81,4,SEDANG
54,15,17,80,3,SEDANG
50,15,15,69,3,SEDANG
52,12,22,64,10,SEDANG
48,11,19,80,11,SEDANG
59,25,34,65,10,SEDANG
56,21,22,64,11,SEDANG
64,20,26,48,21,SEDANG
40,6,25,79,16,SEDANG
51,9,31,76,20,SEDANG
45,7,27,72,14,SEDANG
47,7,24,84,17,SEDANG
46,14,27,70,18,SEDANG
57,16,32,81,27,SEDANG
35,7,17,70,14,SEDANG
65,13,36,60,12,SEDANG
38,7,34,82,15,SEDANG
35,7,22,70,13,SEDANG
55,4,30,61,21,SEDANG
48,7,23,78,18,SEDANG
55,7,21,66,16,SEDANG
49,8,14,75,15,SEDANG
58,13,32,60,14,SEDANG
50,6,18,69,15,SEDANG
53,5,22,72,14,SEDANG
37,5,17,76,15,SEDANG
48,8,22,64,22,SEDANG
67,8,22,72,18,SEDANG
55,9,25,68,21,SEDANG
50,9,16,70,17,SEDANG
52,11,16,68,16,SEDANG
62,12,25,79,17,SEDANG
62,13,23,66,13,SEDANG
65,9,20,76,17,SEDANG
63,10,20,75,13,SEDANG
63,14,20,62,15,SEDANG
62,8,28,69,21,SEDANG
61,11,24,73,15,SEDANG
60,21,22,72,15,SEDANG
62,23,24,51,19,SEDANG
64,23,27,65,19,SEDANG
66,22,23,49,16,SEDANG
62,22,22,64,22,SEDANG
57,19,18,69,12,SEDANG
59,20,24,79,21,SEDANG
64,25,23,42,15,SEDANG
62,22,20,52,19,SEDANG
66,23,25,75,25,SEDANG
66,14,15,73,13,SEDANG
65,14,27,53,17,SEDANG
64,20,26,63,15,SEDANG
63,21,22,64,13,SEDANG
64,20,22,62,18,SEDANG
61,20,22,63,20,SEDANG
62,20,20,63,19,SEDANG
57,19,16,65,17,SEDANG
63,22,24,73,21,SEDANG
66,20,21,66,14,SEDANG
73,21,24,43,14,SEDANG
66,17,26,81,19,SEDANG
62,16,22,76,14,SEDANG
62,20,23,74,18,SEDANG
61,17,29,53,18,SEDANG
55,19,22,65,19,SEDANG
52,17,14,73,12,SEDANG
57,18,22,89,16,SEDANG
61,16,26,53,14,SEDANG
56,19,20,58,12,SEDANG
68,19,16,50,10,SEDANG
58,18,24,67,16,SEDANG
57,18,20,61,20,SEDANG
54,24,20,69,16,SEDANG
58,22,16,75,12,SEDANG
67,25,24,71,17,SEDANG
59,20,21,64,14,SEDANG
73,18,16,58,14,SEDANG
62,18,17,65,14,SEDANG
62,24,18,75,16,SEDANG
62,20,15,56,16,SEDANG
59,19,16,65,21,SEDANG
56,19,17,74,23,SEDANG
69,18,19,73,16,SEDANG
66,19,16,72,14,SEDANG
62,19,18,79,13,SEDANG
66,19,22,78,17,SEDANG
58,18,20,70,12,SEDANG
62,20,22,76,12,SEDANG
55,23,16,66,16,SEDANG
52,22,15,73,17,SEDANG
63,25,14,61,18,SEDANG
61,21,13,56,12,SEDANG
68,22,28,72,12,SEDANG
62,21,21,43,14,SEDANG
59,28,18,58,14,SEDANG
49,22,13,86,14,SEDANG
41,22,14,70,12,SEDANG
56,20,21,86,17,SEDANG
55,22,22,85,21,SEDANG
62,22,17,78,15,SEDANG
73,24,20,63,20,SEDANG
57,24,16,66,12,SEDANG
55,23,12,80,14,SEDANG
48,21,15,63,15,SEDANG
52,25,14,66,13,SEDANG
67,21,21,72,19,SEDANG
64,22,21,69,13,SEDANG
64,22,20,66,15,SEDANG
67,23,22,48,14,SEDANG
53,20,17,81,14,SEDANG
62,23,20,64,14,SEDANG
53,22,18,69,19,SEDANG
63,32,22,59,13,SEDANG
41,23,9,69,11,SEDANG
61,26,20,56,18,SEDANG
54,23,20,73,14,SEDANG
55,23,23,64,11,SEDANG
51,34,21,74,20,SEDANG
47,10,18,68,19,SEDANG
58,6,12,67,14,SEDANG
47,6,9,68,12,SEDANG
51,11,9,84,10,SEDANG
50,2,7,71,10,SEDANG
43,4,5,72,7,SEDANG
74,14,6,47,11,SEDANG
58,8,6,74,12,SEDANG
55,16,5,65,9,SEDANG
60,16,6,61,10,SEDANG
60,15,6,61,12,SEDANG
70,13,8,54,13,SEDANG
61,17,12,67,17,SEDANG
63,16,6,61,10,SEDANG
53,15,7,77,11,SEDANG
76,19,13,64,23,SEDANG
70,18,10,61,19,SEDANG
68,20,5,57,11,SEDANG
75,20,6,53,15,SEDANG
69,18,6,65,11,SEDANG
60,20,6,59,15,SEDANG
54,16,8,67,12,SEDANG
62,17,6,60,9,SEDANG
64,21,6,55,16,SEDANG
68,17,6,66,10,SEDANG
59,19,8,58,12,SEDANG
64,18,7,60,11,SEDANG
56,19,7,62,14,SEDANG
71,18,9,65,11,SEDANG
61,19,5,61,11,SEDANG
67,20,7,70,12,SEDANG
70,23,6,55,16,SEDANG
65,19,6,72,12,SEDANG
64,18,6,58,14,SEDANG
54,15,6,65,12,SEDANG
68,19,14,49,17,SEDANG
52,17,10,66,13,SEDANG
52,20,5,66,11,SEDANG
